Район,Наслег,ОКТМО,Бассейн рек,Населенный пункт,Год,Месяц,День,в % от нормы,Unnamed: 9,"Кол-во ошибок ""#н/д""",0
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2010,11,20,<70,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,Индигирка,Чокурдах,2010,11,20,<70,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Колыма,Зырянка,2010,11,20,<70,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Колыма,Среднеколымск,2010,11,20,70-90,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,Колыма,Черский,2010,11,20,<70,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Вилюй,Сунтар,2010,11,20,90-110,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Вилюй,Нюрба,2010,11,20,<70,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,Вилюй,В.Вилюйск,2010,11,20,90-110,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюй,Вилюйск,2010,11,20,>130,,,
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2011,11,20,110-130,,,
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2011,11,20,70-90,,,
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2011,11,20,110-130,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олекминск,2011,11,20,90-110,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2011,11,20,>130,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2011,11,20,110-130,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2011,11,20,>130,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2011,11,20,>130,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2011,11,20,<70,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2011,11,20,<70,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2011,11,20,110-130,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2011,11,20,70-90,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2011,11,20,110-130,,,
Усть-Янский муниципальный район,Казачинский национальный наслег,98656405101,Яна,Казачье,2011,11,20,>130,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2011,11,20,>130,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2011,11,20,>130,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2011,11,20,<70,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2011,11,20,<70,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,Индигирка,Чокурдах,2011,11,20,<70,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Колыма,Зырянка,2011,11,20,<70,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Колыма,Среднеколымск,2011,11,20,<70,,,
Нижнеколымский муниципальный район,поселок Черский,98637151051,Колыма,Черский,2011,11,20,<70,,,
Сунтарский муниципальный район,Сунтарский наслег,98648455101,Вилюй,Сунтар,2011,11,20,<70,,,
Нюрбинский муниципальный район,город Нюрба,98626101001,Вилюй,Нюрба,2011,11,20,90-110,,,
Верхневилюйский муниципальный район,Верхневилюйский наслег,98614412101,Вилюй,В.Вилюйск,2011,11,20,90-110,,,
Вилюйский муниципальный район,город Вилюйск,98618101001,Вилюй,Вилюйск,2011,11,20,>130,,,
Городской округ Город Якутск,город Якутск,98701000001,Лена,Якутск,2012,11,20,>130,,,
Хангаласский муниципальный район,город Покровск,98644101001,Лена,Покровск,2012,11,20,>130,,,
Намский муниципальный район,Ленский наслег,98635425101,Лена,Намцы,2012,11,20,90-110,,,
Олекминский муниципальный район,город Олекминск,98641101001,Лена,Олекминск,2012,11,20,90-110,,,
Ленский муниципальный район,город Ленск,98627101001,Лена,Ленск,2012,11,20,90-110,,,
Ленский муниципальный район,поселок Витим,98627153051,Лена,Витим,2012,11,20,90-110,,,
Кобяйский муниципальный район,поселок Сангар,98624151051,Лена,Сангар,2012,11,20,<70,,,
Жиганский национальный эвенкийский муниципальный район,Жиганский эвенкийский национальный наслег,98622410101,Лена,Жиганск,2012,11,20,<70,,,
Усть-Майский муниципальный район,поселок Усть-Мая,98654151051,Алдан,Усть-Мая,2012,11,20,110-130,,,
Алданский муниципальный район,город Алдан,98603101001,Алдан,Алдан,2012,11,20,>130,,,
Амгинский муниципальный район,Амгинский наслег,98608432101,Амга,Амга,2012,11,20,>130,,,
Верхоянский муниципальный район,поселок Батагай,98616151051,Яна,Батагай,2012,11,20,<70,,,
Верхоянский муниципальный район,город Верхоянск,98616103001,Яна,Верхоянск,2012,11,20,<70,,,
Усть-Янский муниципальный район,Казачинский национальный наслег,98656405101,Яна,Казачье,2012,11,20,110-130,,,
Оймяконский муниципальный район,поселок Усть-Нера,98639151051,Индигирка,Усть-Нера,2012,11,20,110-130,,,
Оймяконский муниципальный район,Оймякон Полюс Холода,98639405101,Индигирка,Оймякон,2012,11,20,110-130,,,
Момский муниципальный район,Момский национальный наслег,98633423101,Индигирка,Хонуу,2012,11,20,110-130,,,
Абыйский муниципальный район,поселок Белая Гора,98601151051,Индигирка,Белая Гора,2012,11,20,70-90,,,
Аллаиховский муниципальный район,поселок Чокурдах,98606151051,Индигирка,Чокурдах,2012,11,20,<70,,,
Верхнеколымский муниципальный район,поселок Зырянка,98615151051,Колыма,Зырянка,2012,11,20,<70,,,
Среднеколымский муниципальный район,город Среднеколымск,98646101001,Колыма,Среднеколымск,2012,11,20,<70,,,
